,dataset,model,kappa,metric,param.,value,ABC,CI
103,CIFAR2,resnet,SR,FPR,N,1.0,0.0012379704664073573,"[np.float64(0.0004464401911432658), np.float64(0.0020295007416714487)]"
104,CIFAR2,resnet,SR,FNR,N,1.0,0.062778609815863,"[np.float64(0.04061808520937065), np.float64(0.08493913442235534)]"
105,CIFAR2,resnet,SR,standard,N,0.75,0.0027208902844089032,"[np.float64(0.00041616622815819366), np.float64(0.005025614340659613)]"
106,CIFAR2,resnet,SR,FP,N,0.75,0.001218334615317587,"[np.float64(0.00024575616830317974), np.float64(0.0021909130623319942)]"
107,CIFAR2,resnet,SR,FN,N,0.75,0.002575984188748474,"[np.float64(0.00020622814418443276), np.float64(0.004945740233312515)]"
108,CIFAR2,resnet,SR,FPR,N,0.75,0.0014220009437242301,"[np.float64(0.00034461944433168603), np.float64(0.0024993824431167743)]"
109,CIFAR2,resnet,SR,FNR,N,0.75,0.07469720563055375,"[np.float64(0.04584743045711643), np.float64(0.10354698080399108)]"
110,CIFAR2,resnet,SR,standard,N,0.5,0.0035446727983059595,"[np.float64(0.00047018275768991383), np.float64(0.006619162838922005)]"
111,CIFAR2,resnet,SR,FP,N,0.5,0.0017329222015441646,"[np.float64(0.0006255236071346824), np.float64(0.002840320795953647)]"
112,CIFAR2,resnet,SR,FN,N,0.5,0.003252343520636828,"[np.float64(-2.8782713854032943e-05), np.float64(0.006533469755127689)]"
113,CIFAR2,resnet,SR,FPR,N,0.5,0.0020148603167312665,"[np.float64(0.000789621510289278), np.float64(0.003240099123173255)]"
114,CIFAR2,resnet,SR,FNR,N,0.5,0.10634397533149043,"[np.float64(0.07117341053650558), np.float64(0.14151454012647527)]"
115,CIFAR2,resnet,SR,standard,N,0.25,0.004898940756893061,"[np.float64(-0.0008620788583787184), np.float64(0.01065996037216484)]"
116,CIFAR2,resnet,SR,FP,N,0.25,0.002194323827649437,"[np.float64(0.0002003804501728968), np.float64(0.004188267205125978)]"
