config_id,dico_layers,before,acc,mc_mean_probs,variance_predicted,variance_max,predictive_entropy_predicted,predictive_entropy_max,penalties
20,{'conv2': 0.2},True,0.7186999917030334,0.09999998658895493,0.0761285275220871,0.0321304015815258,0.5184761881828308,0.601020872592926,"{'variance_predicted': {'penalty_isotone': np.float64(0.004985660779272384), 'penalty_rearrangement': np.float64(0.005486701108839917)}, 'variance_max': {'penalty_isotone': np.float64(0.0020160593799808837), 'penalty_rearrangement': np.float64(0.0023342100259929667)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.000406327831245639), 'penalty_rearrangement': np.float64(0.0008467095362589913)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(4.6188817175535185e-05), 'penalty_rearrangement': np.float64(6.269306793417713e-05)}}"
21,{'conv2': 0.2},False,0.7254999876022339,0.09999999403953552,0.05604545772075653,0.026392482221126556,0.489854097366333,0.5410350561141968,"{'variance_predicted': {'penalty_isotone': np.float64(0.00010452850048719143), 'penalty_rearrangement': np.float64(0.00012390123700598644)}, 'variance_max': {'penalty_isotone': np.float64(9.834584796616383e-05), 'penalty_rearrangement': np.float64(0.00012476427175904455)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(2.3202164602880655e-05), 'penalty_rearrangement': np.float64(2.3202164602880655e-05)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(7.441039919288083e-05), 'penalty_rearrangement': np.float64(0.00036830522879127914)}}"
22,{'conv2': 0.3},True,0.6953999996185303,0.09999999403953552,0.0863725021481514,0.036209430545568466,0.5154539346694946,0.6285423040390015,"{'variance_predicted': {'penalty_isotone': np.float64(0.006992801468650734), 'penalty_rearrangement': np.float64(0.007382695814982368)}, 'variance_max': {'penalty_isotone': np.float64(0.0046373470392172015), 'penalty_rearrangement': np.float64(0.005540978684326415)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.002142733342551818), 'penalty_rearrangement': np.float64(0.0029721257399722787)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.004933319825514032), 'penalty_rearrangement': np.float64(0.006885596911987913)}}"
23,{'conv2': 0.3},False,0.7186999917030334,0.09999999403953552,0.074368417263031,0.031998079270124435,0.5095720291137695,0.5882404446601868,"{'variance_predicted': {'penalty_isotone': np.float64(0.0008015020604566401), 'penalty_rearrangement': np.float64(0.0014244857730314853)}, 'variance_max': {'penalty_isotone': np.float64(0.00015252850538731807), 'penalty_rearrangement': np.float64(0.00022851132076569478)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.0009160449402309967), 'penalty_rearrangement': np.float64(0.004048929104027484)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.0001337352629554662), 'penalty_rearrangement': np.float64(0.0006126348820285043)}}"
24,{'conv2': 0.4},True,0.6545999646186829,0.09999999403953552,0.08964824676513672,0.03815440461039543,0.49851590394973755,0.6348167061805725,"{'variance_predicted': {'penalty_isotone': np.float64(0.008887581463259304), 'penalty_rearrangement': np.float64(0.01049226301904451)}, 'variance_max': {'penalty_isotone': np.float64(0.005161309367036144), 'penalty_rearrangement': np.float64(0.005949826284458937)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.007295756774406196), 'penalty_rearrangement': np.float64(0.00835402942591427)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.03259156555473895), 'penalty_rearrangement': np.float64(0.043877209609399934)}}"
25,{'conv2': 0.4},False,0.7064999938011169,0.09999999403953552,0.08725566416978836,0.03560015931725502,0.5142369270324707,0.620752215385437,"{'variance_predicted': {'penalty_isotone': np.float64(0.003905043019781345), 'penalty_rearrangement': np.float64(0.004299685008486786)}, 'variance_max': {'penalty_isotone': np.float64(0.00026870991894111044), 'penalty_rearrangement': np.float64(0.0003276568969852108)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.0007137428949310057), 'penalty_rearrangement': np.float64(0.0015845102665931383)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.0002816483537054831), 'penalty_rearrangement': np.float64(0.0006203626494257078)}}"
26,{'conv2': 0.5},True,0.5961999893188477,0.09999999403953552,0.0912536233663559,0.03903501480817795,0.48148924112319946,0.6274162530899048,"{'variance_predicted': {'penalty_isotone': np.float64(0.00673783961612836), 'penalty_rearrangement': np.float64(0.006645934929031545)}, 'variance_max': {'penalty_isotone': np.float64(0.0011018238601848687), 'penalty_rearrangement': np.float64(0.0014718697277724486)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.007287079438195858), 'penalty_rearrangement': np.float64(0.007846225872479348)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.059192886685356105), 'penalty_rearrangement': np.float64(0.08858965223054585)}}"
27,{'conv2': 0.5},False,0.6819999814033508,0.09999999403953552,0.09608554095029831,0.03744048625230789,0.5072078704833984,0.6367388367652893,"{'variance_predicted': {'penalty_isotone': np.float64(0.006447738017878461), 'penalty_rearrangement': np.float64(0.006739467933664111)}, 'variance_max': {'penalty_isotone': np.float64(0.00017498872056859446), 'penalty_rearrangement': np.float64(0.00021852196350537025)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.004504282747046164), 'penalty_rearrangement': np.float64(0.004875657000572434)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.014423157700711843), 'penalty_rearrangement': np.float64(0.020841547227014423)}}"
28,{'conv2': 0.6},True,0.5069999694824219,0.09999999403953552,0.0915246531367302,0.039156973361968994,0.4633226990699768,0.6143732070922852,"{'variance_predicted': {'penalty_isotone': np.float64(0.004635720530706637), 'penalty_rearrangement': np.float64(0.004809688594614353)}, 'variance_max': {'penalty_isotone': np.float64(0.0004886156828425379), 'penalty_rearrangement': np.float64(0.0006402535288320534)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.005574268009974626), 'penalty_rearrangement': np.float64(0.006005461457708248)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.05965788720868823), 'penalty_rearrangement': np.float64(0.12698070672013145)}}"
29,{'conv2': 0.6},False,0.633899986743927,0.09999999403953552,0.09941418468952179,0.037949565798044205,0.48706209659576416,0.6373066306114197,"{'variance_predicted': {'penalty_isotone': np.float64(0.0071332157459048865), 'penalty_rearrangement': np.float64(0.006667044292872937)}, 'variance_max': {'penalty_isotone': np.float64(9.244849131651573e-05), 'penalty_rearrangement': np.float64(0.00022252793766585043)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.008531478862413034), 'penalty_rearrangement': np.float64(0.00951149847369324)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.05636243635179339), 'penalty_rearrangement': np.float64(0.0936681084668455)}}"
30,{'conv2': 0.7},True,0.38609999418258667,0.09999999403953552,0.09447716921567917,0.039078131318092346,0.4530247449874878,0.6014407277107239,"{'variance_predicted': {'penalty_isotone': np.float64(0.006764429685299697), 'penalty_rearrangement': np.float64(0.06147758879725371)}, 'variance_max': {'penalty_isotone': np.float64(0.0008597711035957787), 'penalty_rearrangement': np.float64(0.001907195443682295)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.007146022125371193), 'penalty_rearrangement': np.float64(0.0664352723938344)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.04435820520323519), 'penalty_rearrangement': np.float64(0.10835613397442151)}}"
31,{'conv2': 0.7},False,0.5444999933242798,0.09999998658895493,0.09894556552171707,0.03708634525537491,0.45964697003364563,0.625806987285614,"{'variance_predicted': {'penalty_isotone': np.float64(0.004472780670003008), 'penalty_rearrangement': np.float64(0.007865916964723146)}, 'variance_max': {'penalty_isotone': np.float64(0.00011196727040738907), 'penalty_rearrangement': np.float64(0.00013302123215150696)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.005336855984194639), 'penalty_rearrangement': np.float64(0.00983348634118873)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.05570622267942707), 'penalty_rearrangement': np.float64(0.14570833546561837)}}"
32,{'conv2': 0.8},True,0.2646999955177307,0.09999999403953552,0.09499312192201614,0.041496846824884415,0.43797987699508667,0.5974335074424744,"{'variance_predicted': {'penalty_isotone': np.float64(0.003458916361292446), 'penalty_rearrangement': np.float64(0.0035223081963788876)}, 'variance_max': {'penalty_isotone': np.float64(0.008110103899308796), 'penalty_rearrangement': np.float64(0.04386973645226236)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.0034266678959670527), 'penalty_rearrangement': np.float64(0.003439300226828881)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.030613486342636206), 'penalty_rearrangement': np.float64(0.04939635382594606)}}"
33,{'conv2': 0.8},False,0.4098999798297882,0.09999999403953552,0.09853000193834305,0.03524170443415642,0.434684157371521,0.6103811860084534,"{'variance_predicted': {'penalty_isotone': np.float64(0.002121074585465844), 'penalty_rearrangement': np.float64(0.002272901631079273)}, 'variance_max': {'penalty_isotone': np.float64(0.0005024251003308372), 'penalty_rearrangement': np.float64(0.0009112119705408777)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.002525091625225827), 'penalty_rearrangement': np.float64(0.0027021011285554954)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.03242518890192443), 'penalty_rearrangement': np.float64(0.16941064818186552)}}"
34,{'conv2': 0.9},True,0.19200000166893005,0.09999999403953552,0.0894869938492775,0.06135450303554535,0.43741846084594727,0.5930558443069458,"{'variance_predicted': {'penalty_isotone': np.float64(0.0026031441265147747), 'penalty_rearrangement': np.float64(0.008530224092664929)}, 'variance_max': {'penalty_isotone': np.float64(0.00529464867157862), 'penalty_rearrangement': np.float64(0.022332684250867284)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.0030025042557222086), 'penalty_rearrangement': np.float64(0.022724717397753516)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.019743351629800426), 'penalty_rearrangement': np.float64(0.04099449404028089)}}"
35,{'conv2': 0.9},False,0.2280000001192093,0.09999999403953552,0.09919537603855133,0.03937799111008644,0.41737255454063416,0.6010675430297852,"{'variance_predicted': {'penalty_isotone': np.float64(0.0014670520362775137), 'penalty_rearrangement': np.float64(0.0019952995019773393)}, 'variance_max': {'penalty_isotone': np.float64(0.011756076375275966), 'penalty_rearrangement': np.float64(0.03623182669831079)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.001319895186035673), 'penalty_rearrangement': np.float64(0.005093044220463267)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.009978374083280813), 'penalty_rearrangement': np.float64(0.06390966523978778)}}"
36,{'conv3': 0.1},True,0.7279999852180481,0.09999999403953552,0.03212394937872887,0.017278192564845085,0.4509064257144928,0.47655096650123596,"{'variance_predicted': {'penalty_isotone': np.float64(7.3453673050918585e-06), 'penalty_rearrangement': np.float64(7.3453673050918585e-06)}, 'variance_max': {'penalty_isotone': np.float64(1.6550619280384127e-05), 'penalty_rearrangement': np.float64(2.4884786030391723e-05)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(4.006810516533183e-05), 'penalty_rearrangement': np.float64(4.006810516533184e-05)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(3.0058809199776247e-05), 'penalty_rearrangement': np.float64(4.346933658877225e-05)}}"
37,{'conv3': 0.1},False,0.7265999913215637,0.09999998658895493,0.022018417716026306,0.013216064311563969,0.42925935983657837,0.44577646255493164,"{'variance_predicted': {'penalty_isotone': np.float64(1.5600011560060444e-05), 'penalty_rearrangement': np.float64(1.5600011560060444e-05)}, 'variance_max': {'penalty_isotone': np.float64(2.3281801193219654e-05), 'penalty_rearrangement': np.float64(2.3281801193219648e-05)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(4.249182411596655e-05), 'penalty_rearrangement': np.float64(8.406948246754268e-05)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(4.733133497795286e-05), 'penalty_rearrangement': np.float64(9.089571853581385e-05)}}"
38,{'conv3': 0.2},True,0.7260000109672546,0.09999999403953552,0.056224290281534195,0.02636674791574478,0.4908725321292877,0.5405120849609375,"{'variance_predicted': {'penalty_isotone': np.float64(5.3031863479825484e-05), 'penalty_rearrangement': np.float64(5.5448343754824886e-05)}, 'variance_max': {'penalty_isotone': np.float64(9.355664125106426e-05), 'penalty_rearrangement': np.float64(0.00014639802683193333)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(0.00013401365211031653), 'penalty_rearrangement': np.float64(0.0002351319659980381)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(0.00010145006813361729), 'penalty_rearrangement': np.float64(0.00043368449616892966)}}"
39,{'conv3': 0.2},False,0.7300999760627747,0.09999999403953552,0.04095252603292465,0.02118251845240593,0.4607759714126587,0.49315863847732544,"{'variance_predicted': {'penalty_isotone': np.float64(0.00010062364361839373), 'penalty_rearrangement': np.float64(0.00011616798128475133)}, 'variance_max': {'penalty_isotone': np.float64(5.022059654666373e-05), 'penalty_rearrangement': np.float64(5.942609578731347e-05)}, 'predictive_entropy_predicted': {'penalty_isotone': np.float64(1.1203886197579439e-05), 'penalty_rearrangement': np.float64(9.067837215638098e-06)}, 'predictive_entropy_max': {'penalty_isotone': np.float64(4.687172002100182e-05), 'penalty_rearrangement': np.float64(6.352141579319915e-05)}}"
